genome,completeness,contamination,strain_heterogeneity,length,N50,centrality
chicken1_D13_maxbin.018.fasta.contigs.fa,77.34,2.24,0.0,1497058,60117,0.9999043880769231
chicken1_D13_maxbin.021.fasta.contigs.fa,5.38,0.69,33.33,553581,40667,0.0
chicken1_D13_maxbin.022.fasta.contigs.fa,87.75,1.34,0.0,2783301,56781,0.9994178114285714
chicken1_D13_maxbin.025.fasta.contigs.fa,69.49,1.75,20.0,2278011,30248,0.0
chicken1_D13_maxbin.026.fasta.contigs.fa,96.08,0.34,0.0,4311515,51994,0.9995501435714287
chicken1_D13_maxbin.027.fasta.contigs.fa,98.08,0.14,0.0,3867640,109696,0.9999032277272729
chicken1_D13_maxbin.028.fasta.contigs.fa,80.06,0.63,0.0,2418506,76378,0.9984300850000001
chicken1_D13_maxbin.029.fasta.contigs.fa,76.29,4.59,45.45,1756648,11193,0.9917812409090909
chicken1_D13_maxbin.030.fasta.contigs.fa,91.96,2.8,0.0,1976744,122940,0.9998917504166668
chicken1_D13_maxbin.031.fasta.contigs.fa,96.2,29.43,1.96,4411733,74589,0.0
chicken1_D13_maxbin.032.fasta.contigs.fa,91.53,10.71,88.89,3400142,17229,0.9963958394444445
chicken1_D13_maxbin.033.fasta.contigs.fa,89.6,1.56,0.0,2524321,53272,0.9993420175757575
chicken1_D13_maxbin.034.fasta.contigs.fa,86.56,7.65,20.0,2202286,47266,0.9986321531578946
chicken1_D13_maxbin.035.fasta.contigs.fa,99.06,6.13,11.11,3369190,16380,0.9962669753333333
chicken1_D13_maxbin.036.fasta_sub.contigs.fa,70.25,3.58,23.08,3992942,21566,0.99465085
chicken1_D13_maxbin.037.fasta.contigs.fa,77.19,9.01,11.54,3080235,28400,0.9983253270000001
chicken1_D13_maxbin.038.fasta.contigs.fa,40.16,10.4,17.39,2232297,14968,0.0
chicken1_D13_maxbin.042.fasta.contigs.fa,97.44,12.93,1.89,5441110,7523,0.9997193132142858
chicken1_D13_maxbin.044.fasta.contigs.fa,23.16,1.76,0.0,1356603,1937,0.0
chicken1_D13_maxbin.045.fasta_sub.contigs.fa,81.75,28.53,0.0,2907668,3526,0.0
chicken1_D13_maxbin.056.fasta.contigs.fa,62.73,25.71,5.06,3044598,2130,0.0
chicken1_D13_maxbin.058.fasta.contigs.fa,65.69,3.83,0.0,1544742,2405,0.0
