bin_name	total_scgs	supporting_scgs	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
c1_Bin_5_4_1	22	21	Bacteria	Firmicutes	Clostridia	Peptostreptococcales	Anaerovoracaceae	CAG-145	CAG-145 sp900540145
c1_Bin_5_5_1	11	10	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	None	None
c1_Bin_18_4_1	13	5	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	Flavonifractor sp002161215
c1_Bin_18_5_1	22	22	Bacteria	Firmicutes	Bacilli	Bacillales	DSM-18226	Niallia	None
c1_Bin_18_6_1	15	5	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	CAG-81	CAG-81 sp000435795
c1_Bin_18_8_1	12	11	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Sellimonas	Sellimonas intestinalis
c1_Bin_18_9_1	12	6	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	GCA-900066135	GCA-900066135 sp900066135
c1_Bin_18_10_1	14	9	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia sp900542045
c1_Bin_18_11_1	9	9	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	None	None
c1_Bin_14_2_1	20	20	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	None
c1_Bin_14_7_1	9	9	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	None
c1_Bin_8_1_1	21	14	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Massiliomicrobiota	Massiliomicrobiota sp002160815
c1_Bin_8_2_1	22	21	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	Erysipelatoclostridium spiroforme
c1_Bin_8_3_1	16	10	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	UMGS599	UMGS599 sp900543705
c1_Bin_8_4_1	15	7	Bacteria	Firmicutes	Clostridia	Christensenellales	Borkfalkiaceae	Borkfalkia	Borkfalkia sp900761675
c1_Bin_8_5_1	17	12	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Butyrivibrio	Butyrivibrio sp000431815
c1_Bin_8_6_1	15	6	Bacteria	Firmicutes	Clostridia	Christensenellales	Borkfalkiaceae	Borkfalkia	Borkfalkia sp900761675
