genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
human1_HV-18_maxbin.029.fasta.contigs.fa,33_1,0.020000000000000018,average,ANImf,33
human1_HV-1_maxbin.013.fasta.contigs.fa,33_1,0.020000000000000018,average,ANImf,33
human1_HV-23_maxbin.026.fasta.contigs.fa,33_1,0.020000000000000018,average,ANImf,33
human1_HV-24_maxbin.019.fasta.contigs.fa,33_1,0.020000000000000018,average,ANImf,33
human1_HV-5_maxbin.040.fasta.contigs.fa,33_1,0.020000000000000018,average,ANImf,33
human1_HV-6_maxbin.048.fasta.contigs.fa,33_1,0.020000000000000018,average,ANImf,33
human1_HV-7_maxbin.010.fasta.contigs.fa,33_1,0.020000000000000018,average,ANImf,33
human1_HV-8_maxbin.010.fasta.contigs.fa,33_1,0.020000000000000018,average,ANImf,33
human1_concoct_10_refined_2_Bin_6_5_1-contigs.fa,33_1,0.020000000000000018,average,ANImf,33
human1_HV-13_maxbin.002.fasta.contigs.fa,34_1,0.020000000000000018,average,ANImf,34
human1_HV-15_maxbin.004.fasta.contigs.fa,34_1,0.020000000000000018,average,ANImf,34
human1_HV-19_maxbin.004.fasta.contigs.fa,34_1,0.020000000000000018,average,ANImf,34
human1_HV-21_maxbin.005.fasta.contigs.fa,34_1,0.020000000000000018,average,ANImf,34
human1_HV-7_maxbin.001.fasta.contigs.fa,34_1,0.020000000000000018,average,ANImf,34
human1_HV-9_maxbin.005.fasta.contigs.fa,34_1,0.020000000000000018,average,ANImf,34
human1_concoct_10_refined_2_Bin_0_9_1-contigs.fa,34_1,0.020000000000000018,average,ANImf,34
human1_HC-11_maxbin.006.fasta.contigs.fa,35_1,0.020000000000000018,average,ANImf,35
human1_HC-12_maxbin.006.fasta.contigs.fa,35_1,0.020000000000000018,average,ANImf,35
human1_HC-13_maxbin.013.fasta.contigs.fa,35_1,0.020000000000000018,average,ANImf,35
human1_HC-14_maxbin.014.fasta.contigs.fa,35_1,0.020000000000000018,average,ANImf,35
human1_HC-15_maxbin.017.fasta.contigs.fa,35_1,0.020000000000000018,average,ANImf,35
human1_HC-16_maxbin.007.fasta.contigs.fa,35_1,0.020000000000000018,average,ANImf,35
human1_HC-17_maxbin.004.fasta.contigs.fa,35_1,0.020000000000000018,average,ANImf,35
human1_HC-18_maxbin.006.fasta.contigs.fa,35_1,0.020000000000000018,average,ANImf,35
human1_HC-19_maxbin.014.fasta.contigs.fa,35_1,0.020000000000000018,average,ANImf,35
human1_HC-20_maxbin.005.fasta.contigs.fa,35_1,0.020000000000000018,average,ANImf,35
human1_HC-21_maxbin.004.fasta.contigs.fa,35_1,0.020000000000000018,average,ANImf,35
human1_HC-22_maxbin.008.fasta.contigs.fa,35_1,0.020000000000000018,average,ANImf,35
human1_HC-23_maxbin.002.fasta.contigs.fa,35_1,0.020000000000000018,average,ANImf,35
human1_HC-24_maxbin.007.fasta.contigs.fa,35_1,0.020000000000000018,average,ANImf,35
human1_HC-3_maxbin.036.fasta.contigs.fa,35_1,0.020000000000000018,average,ANImf,35
human1_HC-4_maxbin.035.fasta.contigs.fa,35_1,0.020000000000000018,average,ANImf,35
human1_HC-5_maxbin.005.fasta.contigs.fa,35_1,0.020000000000000018,average,ANImf,35
human1_HC-6_maxbin.013.fasta.contigs.fa,35_1,0.020000000000000018,average,ANImf,35
human1_HC-9_maxbin.020.fasta.contigs.fa,35_1,0.020000000000000018,average,ANImf,35
human1_HV-2_maxbin.040.fasta_sub.contigs.fa,35_1,0.020000000000000018,average,ANImf,35
human1_HV-8_maxbin.007.fasta.contigs.fa,35_1,0.020000000000000018,average,ANImf,35
human1_concoct_10_refined_2_Bin_9_2-contigs.fa,35_1,0.020000000000000018,average,ANImf,35
human1_D-1_maxbin.044.fasta.contigs.fa,36_1,0.020000000000000018,average,ANImf,36
human1_concoct_10_refined_2_Bin_9_20_1-contigs.fa,36_1,0.020000000000000018,average,ANImf,36
human1_concoct_10_refined_2_Bin_9_17-contigs.fa,37_0,0.020000000000000018,average,ANImf,37
human1_HC-1_maxbin.037.fasta.contigs.fa,38_1,0.020000000000000018,average,ANImf,38
human1_HC-2_maxbin.046.fasta.contigs.fa,38_1,0.020000000000000018,average,ANImf,38
human1_HC-7_maxbin.031.fasta.contigs.fa,38_1,0.020000000000000018,average,ANImf,38
human1_HV-10_maxbin.047.fasta.contigs.fa,38_1,0.020000000000000018,average,ANImf,38
human1_HV-18_maxbin.043.fasta.contigs.fa,38_1,0.020000000000000018,average,ANImf,38
human1_HV-24_maxbin.046.fasta.contigs.fa,38_1,0.020000000000000018,average,ANImf,38
human1_HV-3_maxbin.036.fasta.contigs.fa,38_1,0.020000000000000018,average,ANImf,38
human1_HV-5_maxbin.039.fasta.contigs.fa,38_1,0.020000000000000018,average,ANImf,38
human1_concoct_10_refined_2_Bin_9_8_1-contigs.fa,38_1,0.020000000000000018,average,ANImf,38
human1_D-1_metabat2.109.fa.contigs.fa,39_1,0.020000000000000018,average,ANImf,39
human1_HC-17_maxbin.035.fasta.contigs.fa,39_1,0.020000000000000018,average,ANImf,39
human1_HC-22_maxbin.024.fasta_sub.contigs.fa,39_1,0.020000000000000018,average,ANImf,39
human1_HC-23_maxbin.043.fasta.contigs.fa,39_1,0.020000000000000018,average,ANImf,39
human1_HC-24_maxbin.024.fasta.contigs.fa,39_1,0.020000000000000018,average,ANImf,39
