genome,completeness,contamination,strain_heterogeneity,length,N50,centrality
chicken1_C-5_maxbin.021.fasta.contigs.fa,95.3,3.19,42.86,2160084,12319,0.997194432
chicken1_C-5_maxbin.022.fasta.contigs.fa,84.4,4.15,24.0,2528890,21378,0.9927783866666666
chicken1_C-5_maxbin.023.fasta.contigs.fa,86.22,5.07,7.41,6456670,99719,0.999364606923077
chicken1_C-5_maxbin.024.fasta.contigs.fa,98.99,39.17,76.5,8992840,28452,0.0
chicken1_C-5_maxbin.025.fasta.contigs.fa,88.6,9.36,52.38,4089841,63944,0.99810137
chicken1_C-5_maxbin.026.fasta.contigs.fa,88.85,1.27,100.0,3003519,16242,0.9924666799999999
chicken1_C-5_maxbin.027.fasta.contigs.fa,99.25,1.51,0.0,3667438,82864,0.9998126642857142
chicken1_C-5_maxbin.028.fasta.contigs.fa,79.87,0.69,0.0,2302366,49088,0.999178304375
chicken1_C-5_maxbin.029.fasta.contigs.fa,71.25,8.18,0.0,2540105,56828,0.999235435
chicken1_C-5_maxbin.030.fasta.contigs.fa,75.1,13.46,31.37,2767636,29717,0.99620736
chicken1_C-5_maxbin.031.fasta.contigs.fa,93.36,8.52,3.12,2890733,61707,0.9993716491304344
chicken1_C-5_maxbin.039.fasta.contigs.fa,4.95,0.54,42.86,195391,4260,0.0
chicken1_C-5_metabat2.108.fa.contigs.fa,11.33,0.0,0.0,227750,81116,0.0
chicken1_C-6_maxbin.001.fasta.contigs.fa,100.0,0.0,0.0,3960337,219639,0.999930311190476
chicken1_C-6_maxbin.002.fasta.contigs.fa,92.67,0.0,0.0,2051927,66269,0.9997879814285716
chicken1_C-6_maxbin.003.fasta.contigs.fa,95.97,0.67,100.0,2800910,26070,0.983787203414634
chicken1_C-6_maxbin.004.fasta.contigs.fa,97.43,1.3,21.05,5020809,46909,0.993837298
chicken1_C-6_maxbin.006.fasta.contigs.fa,98.88,1.0,0.0,2473366,36607,0.996788979375
chicken1_C-6_maxbin.007.fasta.contigs.fa,98.08,1.34,0.0,4205746,109696,0.9998845685714285
chicken1_C-6_maxbin.008.fasta.contigs.fa,93.97,2.48,0.0,3396516,78784,0.995696295
chicken1_C-6_maxbin.009.fasta.contigs.fa,70.4,9.95,0.0,3775398,3054,0.9969316922727273
chicken1_D10_maxbin.002.fasta.contigs.fa,86.98,1.59,0.0,2212057,91506,0.9986691899999999
chicken1_D10_maxbin.003.fasta.contigs.fa,100.0,0.0,0.0,4009210,211737,0.9999112054761906
chicken1_D10_maxbin.004.fasta.contigs.fa,65.13,1.01,46.15,3134036,24484,0.0
chicken1_D10_maxbin.005.fasta.contigs.fa,77.34,0.89,0.0,1384844,60555,0.9999307104
chicken1_D10_maxbin.008.fasta.contigs.fa,94.39,4.03,0.0,2404161,92843,0.9990619710000003
chicken1_D10_maxbin.010.fasta.contigs.fa,93.63,12.4,52.63,3486009,60929,0.9968534494736843
chicken1_D10_maxbin.011.fasta.contigs.fa,92.95,0.67,0.0,2588438,38255,0.994961978780488
chicken1_D10_maxbin.013.fasta.contigs.fa,85.75,2.23,0.0,4261955,57685,0.989883195
chicken1_D10_maxbin.014.fasta_sub.contigs.fa,63.87,14.09,0.0,2332647,75995,0.0
chicken1_D10_maxbin.016.fasta.contigs.fa,93.96,2.01,0.0,2538303,94806,0.9974133919230769
chicken1_D10_maxbin.017.fasta.contigs.fa,83.67,2.68,0.0,2595014,80180,0.9997217442857143
chicken1_D10_maxbin.019.fasta.contigs.fa,71.88,1.34,0.0,1776223,48077,0.9923960110000001
