bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
Bin_5_3	3177177	206	29501	43.722013578169104	94.36619718309859	0.0
Bin_5_4	2116212	40	78674	41.496521570703464	95.77464788732394	0.0
Bin_5_5	2750398	89	61656	53.87692900380049	87.32394366197182	0.0
Bin_5_6	2088163	58	54854	51.35544769464752	87.32394366197182	0.0
Bin_5_8_CTXM	70095	7	22050	49.06078735402387	0.0	0.0
Bin_6_1	2954880	128	44628	60.171056873673514	91.54929577464789	5.633802816901408
Bin_6_10	2747622	58	118051	49.88012017450274	92.95774647887323	1.408450704225352
Bin_6_11	1675953	20	133701	60.71712095459871	94.36619718309859	0.0
Bin_6_12	2399233	31	143009	62.89035432721369	84.50704225352112	0.0
Bin_6_13	1923162	81	29915	52.99314140670602	88.73239436619718	0.0
Bin_6_14	2099859	52	71612	54.97003686407274	98.59154929577464	5.633802816901408
Bin_6_15	2256052	34	84623	53.01798296612681	87.32394366197182	0.0
Bin_6_16	2685448	45	99206	46.92601089903821	88.73239436619718	0.0
Bin_6_17	2348664	78	54329	57.41062176368806	80.28169014084507	4.225352112676056
Bin_6_18	1829985	95	23859	60.020176679946445	50.70422535211268	1.408450704225352
Bin_6_19	2386616	59	65333	54.522027305105105	84.50704225352112	1.408450704225352
Bin_6_2	2318640	67	59512	57.1815702063258	94.36619718309859	5.633802816901408
Bin_6_20	2967048	50	91970	56.60253642953478	98.59154929577464	1.408450704225352
Bin_6_21	2186619	60	66885	48.36589390484154	97.1830985915493	0.0
Bin_6_22	2369649	82	48869	48.328286931093885	92.95774647887323	0.0
Bin_6_23	2127040	221	16312	62.063614459617774	94.36619718309859	4.225352112676056
Bin_6_24	2399990	70	62273	58.22552023378243	91.54929577464789	1.408450704225352
Bin_6_25	3295379	511	9393	60.66464073647566	84.50704225352112	5.633802816901408
Bin_6_26	2409256	140	30443	56.396180510094965	91.54929577464789	1.408450704225352
Bin_6_27	2441531	58	76099	58.527328752337795	91.54929577464789	1.408450704225352
Bin_6_28	2602532	138	32169	59.61881709716616	87.32394366197182	7.042253521126761
Bin_6_3	2374491	68	130963	57.53674402874388	90.14084507042253	4.225352112676056
Bin_6_4	3216424	164	41446	50.37313044278983	71.83098591549296	4.225352112676056
Bin_6_5	2702909	119	41104	51.53429653392207	69.01408450704226	2.816901408450704
Bin_6_6	2102805	233	13101	62.432944690125744	54.929577464788736	1.408450704225352
Bin_6_7	3441091	59	81319	55.94915854911153	95.77464788732394	0.0
Bin_6_8	2673975	48	107318	60.541884773763584	95.77464788732394	0.0
Bin_6_9	2360099	72	58511	51.650489345799336	95.77464788732394	1.408450704225352
Bin_7_1	2148447	57	72167	64.06059110096422	92.95774647887323	0.0
Bin_7_10	1700679	88	43447	55.88993148259386	64.78873239436619	4.225352112676056
Bin_7_11	2004022	63	64591	56.06448774223113	92.95774647887323	0.0
Bin_7_12	2191757	64	53307	32.69710555547605	91.54929577464789	7.042253521126761
Bin_7_14	2878801	48	135451	47.52618515271564	97.1830985915493	1.408450704225352
Bin_7_2	1678859	15	166158	59.114708031047435	85.91549295774648	1.408450704225352
Bin_7_3	1901875	43	80563	54.162938529338234	85.91549295774648	0.0
Bin_7_4	3734156	108	74108	64.26029546555753	97.1830985915493	4.225352112676056
Bin_7_5	2481390	110	76413	49.459174879509916	70.4225352112676	4.225352112676056
Bin_7_6	3003995	56	148807	36.730425821874675	95.77464788732394	5.633802816901408
Bin_7_7	1860680	25	140221	47.180608712148285	92.95774647887323	0.0
Bin_7_8	3914618	73	112852	38.96904137851763	100.0	0.0
Bin_7_9	4910819	101	77883	66.15838321584215	100.0	0.0
Bin_8_1	2708054	212	21881	31.792104717923714	94.36619718309859	0.0
Bin_8_2	2758353	192	24703	29.012150947433675	98.59154929577464	1.408450704225352
Bin_8_3	2210329	85	81120	43.74903530027341	81.69014084507042	0.0
Bin_8_4	2461232	94	67087	51.533953808985565	98.59154929577464	11.267605633802816
Bin_8_5	2608057	70	80201	43.38249526284334	100.0	9.859154929577464
Bin_8_6	1672619	76	47346	52.119542756277184	80.28169014084507	0.0
Bin_9_1	2828669	97	57486	41.9426699858402	97.1830985915493	14.084507042253522
Bin_9_10	3808544	127	76770	47.20265960599504	98.59154929577464	1.408450704225352
Bin_9_11	2392647	63	79267	45.215983890695014	97.1830985915493	1.408450704225352
Bin_9_12	3671085	258	20095	49.03181412138576	92.95774647887323	4.225352112676056
