genome,score
chicken1_D16_maxbin.018.fasta.contigs.fa,90.26165900669879
chicken1_D17_maxbin.043.fasta.contigs.fa,29.842640901963204
chicken1_D18_maxbin.005.fasta.contigs.fa,92.20755541025301
chicken1_D20_maxbin.042.fasta.contigs.fa,37.4158668319431
chicken1_D23_maxbin.032.fasta.contigs.fa,-16.168481488151247
chicken1_D3_maxbin.010.fasta.contigs.fa,3.4869449534138464
chicken1_D3_maxbin.007.fasta.contigs.fa,77.84900929794533
chicken1_concoct_20_refined_2_Bin_7_5_1-contigs.fa,93.56895387774131
chicken1_D15_maxbin.023.fasta.contigs.fa,81.39080771060115
chicken1_D16_maxbin.004.fasta.contigs.fa,83.35015351446815
chicken1_D1_maxbin.026.fasta.contigs.fa,52.60374010013387
chicken1_D21_maxbin.013.fasta.contigs.fa,94.84645256175128
chicken1_D23_maxbin.020.fasta.contigs.fa,81.46034443875386
chicken1_D5_maxbin.024.fasta.contigs.fa,87.98664323683745
chicken1_D6_maxbin.030.fasta.contigs.fa,88.47359979497404
chicken1_concoct_20_refined_2_Bin_8_4_1-contigs.fa,65.02576506296995
chicken1_concoct_20_refined_2_Bin_17_1_1-contigs.fa,89.24288292209253
chicken1_C-2_maxbin.011.fasta.contigs.fa,79.27358092373872
chicken1_C-5_maxbin.020.fasta.contigs.fa,75.4580834641535
chicken1_D15_maxbin.038.fasta.contigs.fa,32.80150737300345
chicken1_D16_maxbin.014.fasta.contigs.fa,70.86195848251621
chicken1_D1_maxbin.031.fasta.contigs.fa,60.704894036981884
chicken1_D28_maxbin.010.fasta.contigs.fa,78.17666931688673
chicken1_D29_maxbin.005.fasta.contigs.fa,78.61007494168352
chicken1_D30_maxbin.001.fasta.contigs.fa,71.40997342760788
chicken1_D31_maxbin.016.fasta.contigs.fa,72.49934771296203
chicken1_D32_maxbin.005.fasta.contigs.fa,71.72911549485794
chicken1_D33_maxbin.005.fasta.contigs.fa,46.563075821700046
chicken1_D34_maxbin.013.fasta.contigs.fa,72.07591066197398
chicken1_D38_maxbin.006.fasta.contigs.fa,70.10667839272568
chicken1_D39_maxbin.006.fasta.contigs.fa,82.63796938379605
chicken1_D3_maxbin.005.fasta.contigs.fa,79.3828595150659
chicken1_D41_maxbin.001.fasta.contigs.fa,82.4548931801359
chicken1_D42_maxbin.008.fasta.contigs.fa,74.14940684769887
chicken1_D43_maxbin.029.fasta.contigs.fa,49.28321958011291
chicken1_D6_maxbin.034.fasta.contigs.fa,45.987017360687126
chicken1_concoct_20_refined_2_Bin_17_5_1-contigs.fa,80.99496815867326
chicken1_concoct_20_refined_2_Bin_0_13_1-contigs.fa,42.579039430968734
chicken1_C-1_maxbin.003.fasta.contigs.fa,102.69075371374944
chicken1_C-2_maxbin.001.fasta.contigs.fa,100.53093674476322
chicken1_C-3_maxbin.001.fasta.contigs.fa,96.725406997561
chicken1_C-4_maxbin.001.fasta.contigs.fa,102.69064160183083
chicken1_C-5_maxbin.014.fasta.contigs.fa,102.69075475642556
chicken1_C-6_maxbin.001.fasta.contigs.fa,102.6907850211913
chicken1_D10_maxbin.003.fasta.contigs.fa,102.68280885750593
chicken1_D11_maxbin.001.fasta.contigs.fa,102.69068531501884
chicken1_D12_maxbin.001.fasta.contigs.fa,102.69066976627973
chicken1_D13_maxbin.003.fasta.contigs.fa,102.7091165831796
chicken1_D14_maxbin.001.fasta.contigs.fa,102.69067346576253
chicken1_D16_maxbin.028.fasta.contigs.fa,87.61450318954178
chicken1_D17_maxbin.002.fasta.contigs.fa,102.69507143392474
chicken1_D18_maxbin.001.fasta.contigs.fa,102.66862946594459
chicken1_D19_maxbin.004.fasta.contigs.fa,102.69074683479765
chicken1_D1_maxbin.001.fasta.contigs.fa,102.66104342600615
chicken1_D20_maxbin.001.fasta.contigs.fa,102.6906832097681
chicken1_D21_maxbin.001.fasta.contigs.fa,102.6654590327866
chicken1_D24_maxbin.001.fasta.contigs.fa,102.68646704736608
chicken1_D25_maxbin.001.fasta.contigs.fa,100.53065405302391
chicken1_D26_maxbin.001.fasta.contigs.fa,102.6765704176698
chicken1_D27_maxbin.001.fasta.contigs.fa,102.69533316963769
chicken1_D28_maxbin.001.fasta.contigs.fa,102.66531813704441
chicken1_D29_maxbin.031.fasta.contigs.fa,102.6610043559288
chicken1_D2_maxbin.004.fasta.contigs.fa,101.76099971848693
chicken1_D31_maxbin.005.fasta.contigs.fa,102.66547184847013
