genome,completeness,contamination,strain_heterogeneity,length,N50
chicken1_C-5_maxbin.001.fasta.contigs.fa,79.93,0.57,0.0,2115560,75906
chicken1_C-5_maxbin.003.fasta.contigs.fa,99.63,0.87,0.0,2839728,31439
chicken1_C-5_maxbin.004.fasta.contigs.fa,91.59,12.92,25.81,2957166,80938
chicken1_C-5_maxbin.005.fasta_sub.contigs.fa,85.49,10.85,39.13,3536797,59129
chicken1_C-5_maxbin.007.fasta.contigs.fa,91.38,15.99,16.67,3640481,95602
chicken1_C-5_maxbin.008.fasta.contigs.fa,94.3,3.55,0.0,4071507,29040
chicken1_C-5_maxbin.009.fasta.contigs.fa,90.51,0.0,0.0,2629088,80052
chicken1_C-5_maxbin.010.fasta.contigs.fa,98.12,3.3,55.56,3248346,30616
chicken1_C-5_maxbin.011.fasta.contigs.fa,70.69,0.0,0.0,3376114,99944
chicken1_C-5_maxbin.012.fasta.contigs.fa,95.57,19.15,5.56,3568365,114254
chicken1_C-5_maxbin.013.fasta.contigs.fa,99.63,5.43,0.0,3934610,121798
chicken1_C-5_maxbin.014.fasta.contigs.fa,100.0,0.0,0.0,4094999,219622
chicken1_C-5_maxbin.015.fasta.contigs.fa,94.83,19.67,53.33,4144629,65194
chicken1_C-5_maxbin.016.fasta.contigs.fa,67.6,29.56,14.93,2442525,35545
chicken1_C-5_maxbin.018.fasta.contigs.fa,66.46,23.32,16.22,2134915,36415
chicken1_C-5_maxbin.019.fasta.contigs.fa,89.34,0.34,0.0,2198043,45613
chicken1_C-5_maxbin.020.fasta.contigs.fa,77.28,0.81,0.0,1521020,26176
chicken1_C-5_maxbin.021.fasta.contigs.fa,95.3,3.19,42.86,2160084,12319
chicken1_C-5_maxbin.022.fasta.contigs.fa,84.4,4.15,24.0,2528890,21378
chicken1_C-5_maxbin.023.fasta.contigs.fa,86.22,5.07,7.41,6456670,99719
chicken1_C-5_maxbin.024.fasta.contigs.fa,98.99,39.17,76.5,8992840,28452
chicken1_C-5_maxbin.025.fasta.contigs.fa,88.6,9.36,52.38,4089841,63944
chicken1_C-5_maxbin.026.fasta.contigs.fa,88.85,1.27,100.0,3003519,16242
chicken1_C-5_maxbin.027.fasta.contigs.fa,99.25,1.51,0.0,3667438,82864
chicken1_C-5_maxbin.028.fasta.contigs.fa,79.87,0.69,0.0,2302366,49088
chicken1_C-5_maxbin.029.fasta.contigs.fa,71.25,8.18,0.0,2540105,56828
chicken1_C-5_maxbin.030.fasta.contigs.fa,75.1,13.46,31.37,2767636,29717
chicken1_C-5_maxbin.031.fasta.contigs.fa,93.36,8.52,3.12,2890733,61707
chicken1_C-5_maxbin.039.fasta.contigs.fa,4.95,0.54,42.86,195391,4260
chicken1_C-5_metabat2.108.fa.contigs.fa,11.33,0.0,0.0,227750,81116
chicken1_C-6_maxbin.001.fasta.contigs.fa,100.0,0.0,0.0,3960337,219639
chicken1_C-6_maxbin.002.fasta.contigs.fa,92.67,0.0,0.0,2051927,66269
chicken1_C-6_maxbin.003.fasta.contigs.fa,95.97,0.67,100.0,2800910,26070
chicken1_C-6_maxbin.004.fasta.contigs.fa,97.43,1.3,21.05,5020809,46909
chicken1_C-6_maxbin.006.fasta.contigs.fa,98.88,1.0,0.0,2473366,36607
chicken1_C-6_maxbin.007.fasta.contigs.fa,98.08,1.34,0.0,4205746,109696
chicken1_C-6_maxbin.008.fasta.contigs.fa,93.97,2.48,0.0,3396516,78784
chicken1_C-6_maxbin.009.fasta.contigs.fa,70.4,9.95,0.0,3775398,3054
chicken1_D10_maxbin.002.fasta.contigs.fa,86.98,1.59,0.0,2212057,91506
chicken1_D10_maxbin.003.fasta.contigs.fa,100.0,0.0,0.0,4009210,211737
chicken1_D10_maxbin.004.fasta.contigs.fa,65.13,1.01,46.15,3134036,24484
chicken1_D10_maxbin.005.fasta.contigs.fa,77.34,0.89,0.0,1384844,60555
chicken1_D10_maxbin.008.fasta.contigs.fa,94.39,4.03,0.0,2404161,92843
chicken1_D10_maxbin.010.fasta.contigs.fa,93.63,12.4,52.63,3486009,60929
chicken1_D10_maxbin.011.fasta.contigs.fa,92.95,0.67,0.0,2588438,38255
chicken1_D10_maxbin.013.fasta.contigs.fa,85.75,2.23,0.0,4261955,57685
